RespondentID,Consent,Age,MOSTRECENTyearofstudy,ConsideringUniversityinFuture,GoodunderstandingofPhilosophy,GoodunderstandingofSociology,GoodunderstandingofPsychology,GoodunderstandingofHistory,GoodunderstandingofEthics,GoodunderstandingofTheology,GoodunderstandingofReligiousStudies,GoodunderstandingofPolitics,GoodunderstandingofEnglish,GoodunderstandingofMath,GoodunderstandingofComputerScience,GoodunderstandingofBusiness,InterestinstudyingPhilosophy,InterestinstudyingSociaology,InterestedinStudyingPsychology,InterestedinstudyingHistory,InterestedinstudyingEthics,InterestedinstudyingTheology,InterestedinstudyingReligiousStudies,InterestedinstudyingPolitics,InterestedinstudyingEnglish,InterestedinstudyingMath,InterestedinstudyingComputerScience,InterestedinstudyingBusiness,Philosophyemployability,Sociologyemployability,PsychologyEmployability,Historyemployability,Ethicsemployability,Theologyemployability,ReligiousStudiesemployability,Politicsemployability,Englishemployability,Mathemployability,ComputerScienceemployability,Businessemployability,Theologyasubjectforreligiouspeople,Religionasubjectforreligiouspeople,TheologydegreeincludesPrefernottosay,TheologydegreeincludesPsychology,TheologydegreeincludesArts,TheologydegreeincludesSociology,TheologydegreeincludesPolitics,TheologydegreeincludesHistory,TheologydegreeincludesPhilosophy,TheologydegreeincludesEthics,TheologydegreeincludesArchaeology,TheologydegreeincludesTextualStudies,TheologydegreeincludesLiterature,TheologydegreeincludesLaw,TheologydegreeincludesEconomics,TheologydegreeincludesScience,ReligiousStudiesdegreeincludesPrefernottosay,ReligiousstudiesdegreeincludesPsychology,ReligiousstudiesdegreeincludesArts,ReligiousstudiesdegreeincludesSociology,ReligiousstudiesdegreeincludesPolitics,ReligiousstudiesdegreeincludesHistory,ReligiousstudiesdegreeincludesPhilosophy,ReligiousstudiesdegreeincludesEthics,ReligiousstudiesdegreeincludesArchaeology,ReligiousstudiesdegreeincludesTectualstudies,ReligiousstudiesdegreeincludesLiterature,ReligiousstudiesdegreeincludesLaw,ReligiousstudiesdegreeincludesEconomics,ReligiousstudiesdegreeincludesScience,PhilosophydegreeincludesPrefernottosay,PhilosophydegreeincludesPolitics,PhilosophydegreeincludesHistory,PhilosophydegreeincludesEthics,PhilosophydegreeincludesTheology,PhilosophydegreeincludesReligion,PhilosophydegreeincludesLaw,PhilosophydegreeincludesEconomics,PhilosophydegreeincludesMath,PhilosophydegreeincludesLogic,CurrentlyorintendingtostudyAlevelreligiousstudies,GCSEReligiousStudies,GCSEReligiousStudiesreasonprefernottosay,GCSEReligiousstudieswantedto,GCSEreligiousstudiesparentswanted,GCSEreligiousstudiescompulsory,Gender,Ethnicity,EthnicityOther,ReligiousAffliation,ReligiousAffiliationOther
12793342279,1,2,1,1,3,4,4,3,3,1,3,2,4,4,3,4,1,2,2,1,2,1,2,1,2,2,2,3,2,3,3,3,2,3,3,4,5,4,5,4,3,2, , , ,3,4,5,6,7,8, , , , , , , , , , ,5,6,7,8, , , , , , , ,2,3,4,5, , , , ,2,2, , , , ,1,7, ,5, 
12792130849,1,3,2,2,0,2,2,4,2,2,4,3,4,5,4,3,1,1,1,1,1,1,3,1,1,5,2,2,2,3,3,2,2,2,2,3,2,5,5,4,3,3, , , , , ,5, ,7, ,9,10, , ,13, ,1, , , ,5,6,7, ,9, , , , , , ,2,3,4,5, , , ,9,2,2, , , , ,1,3, ,11, 
12792081693,1,3,2,2,4,2,2,5,4,2,4,3,3,4,5,2,1,1,1,2,1,1,1,1,1,1,3,1,2,3,5,4,2,2,1,4,2,4,5,4,1,2, ,1,2,3,4,5,6,7,8,9,10, ,12, , ,1,2,3,4,5,6, ,8,9,10,11, , , ,1,2,3,4,5, , , ,9,2,1, , , ,3,1,14, ,0, 
12790043342,1,3,2,3,2,3,2,5,2,1,3,3,4,4,5,3,2,2,2,4,2,2,2,1,2,3,5,3,2,3,3,4,2,2,2,4,3,4,5,4,4,4, , ,2, , , ,6,7, ,9, , , , , , , ,3, ,5, ,7, ,9, , , , , , ,2,3, , , , , ,9,2,2, , , , ,1,14, ,1, 
12789989198,1,2,1,1,4,5,5,5,5,4,5,5,5,5,5,5,3,3,3,2,3,3,2,2,4,2,2,2,3,3,3,4,2,2,4,3,5,4,3,4,3,3, , , , , , , , , , ,10, , , , , , , ,4,5,6,7, ,9,10, , , , ,1, ,3,4, , , , , ,1,1, , , ,3,2,14, ,17, 
12789615374,1,3,2,2,4,5,1,3,5,1,4,4,5,1,1,4,1,3,1,1,0,1,1,1,1,1,0,1,3,2,4,3,2,1,3,4,5,4,5,4,0,5,0, , , , , , , , , , , , , , , , ,3, ,5,6,7, , , , , , , , ,2,3, ,5, , , ,9,2,1, , , ,3,1,7, ,5, 
12789612220,1,2,1,1,4, ,1,5,2,2,4,5,4,5,5,4,2,2,2,2,2,2,2,2,2,4,5,4,2,2,3,3,1,1,2,4,3,4,5,5,3,4, , , , , , ,6, , , , , , , , , ,2, ,4, ,6,7, , , ,11, , , , ,2,3,4,5,6, , ,9,2,1, , , ,3,1,14, ,5, 
12789018347,1,2,1,2,3,3,5,4,4,4,4,4,4,4,4,4,2,2,4,1,2,1,2,3,4,3,2,4,1,1,2,3,1,1,2,2,3,5,5,4,2,3, , , ,3, ,5,6,7, ,9,10, , , , , , ,3, ,5,6,7, ,9, , , , , , ,2,3,4,5, , , ,9,2,3, , , , ,2,14, ,17, 
12788645338,1,2,1,1,1,3,4,4,2,1,4,3,4,5,4,5,1,3,2,1,3,1,1,2,1,1,2,5,2,4,3,2,3,2,2,3,3,5,5,5,1,1, , , , , , , , , ,9, , , , , , , , , , , ,7, , , , , , , , , , , , , , , ,9,2,1, , , ,3,2,7, ,5, 
12788426761,1,2,1,1,5,2,4,5,5,2,5,3,5,5,3,5,4,3,2,2,4,3,4,1,3,1,3,4,3,3,4,3,4,2,4,3,4,5,5,4,1,1,0, , , , , , , , , , , , , , , , ,3, ,5,6,7, , ,10,11, , , , ,2,3, ,5,6, , , ,1,1, ,1, , ,1,3, ,11, 
